pNorm	miniHashCount	macroTableCount	targetDistSq	avg valid count	avg missed samples	avg wasted samples
0.030375	15	15	5	48.349	0	670.913
0.030375	15	20	5	48.918	0	753.028
0.030375	20	5	5	46.349	0.27	208.548
0.030375	20	10	5	50.271	0.042	287.893
0.030375	20	15	5	45.412	0	334.062
0.030375	20	20	5	48.32	0	367.783
0.030375	25	5	5	48.392	2.771	68.598
0.030375	25	10	5	45.79	0.114	182.711
0.030375	25	15	5	46.025	0	201.069
0.030375	25	20	5	44.866	0	232.935
0.030375	30	5	5	49.393	2.907	63.752
0.030375	30	10	5	51.535	0.943	96.347
0.030375	30	15	5	49.48	0.015	236.858
0.030375	30	20	5	45.249	0.037	166.314
0.0455625	10	5	5	51.889	0.009	849.006
0.0455625	10	10	5	49.561	0	1177.88
0.0455625	10	15	5	44.272	0	1708.76
0.0455625	10	20	5	44.422	0	1785.62
0.0455625	15	5	5	52.02	0.032	489.005
0.0455625	15	10	5	48.089	0	520.488
0.0455625	15	15	5	48.934	0	696.961
0.0455625	15	20	5	48.635	0	716.379
0.0455625	20	5	5	47.795	1.927	134.016
0.0455625	20	10	5	50.193	0.002	292.765
0.0455625	20	15	5	46.469	0.014	237.769
0.0455625	20	20	5	44.535	0	335.896
0.0455625	25	5	5	48.231	1.355	92.637
0.0455625	25	10	5	42.463	0.262	146.753
0.0455625	25	15	5	47.151	0	194.957
0.0455625	25	20	5	46.65	0	262.407
0.0455625	30	5	5	47.017	4.687	70.287
0.0455625	30	10	5	47.123	1.181	110.885
0.0455625	30	15	5	41.766	0.032	134.27
0.0455625	30	20	5	44.058	0.005	173.515
0.0683437	10	5	5	48.072	0.327	628.432
0.0683437	10	10	5	49.369	0	1231.81
0.0683437	10	15	5	50.431	0	1587.32
0.0683437	10	20	5	47.659	0	1904.34
0.0683437	15	5	5	45.377	0.334	353.948
0.0683437	15	10	5	43.414	0	489.653
0.0683437	15	15	5	49.455	0	636.18
0.0683437	15	20	5	50.564	0	685.49
0.0683437	20	5	5	46.159	1.394	114.069
0.0683437	20	10	5	44.801	0.277	200.736
0.0683437	20	15	5	48.197	0	295.064
0.0683437	20	20	5	48.851	0	373.704
0.0683437	25	5	5	49.951	4.174	72.487
0.0683437	25	10	5	47.005	0.077	150.913
0.0683437	25	15	5	48.185	0.017	189.136
0.0683437	25	20	5	47.103	0.001	219.043
0.0683437	30	5	5	50.232	4.594	83.037
0.0683437	30	10	5	47.444	0.36	115.092
0.0683437	30	15	5	45.764	0.167	146.836
0.0683437	30	20	5	43.157	0.001	176.012
0.102516	10	5	5	46.176	0.002	816.516
0.102516	10	10	5	48.815	0	1451.52
0.102516	10	15	5	44.31	0	1379.98
0.102516	10	20	5	50.619	0	1989.86
0.102516	15	5	5	50.025	0.198	302.897
0.102516	15	10	5	46.506	0	579.471
0.102516	15	15	5	45.472	0	593.424
0.102516	15	20	5	50.712	0	705.691
0.102516	20	5	5	46.577	0.488	136.013
0.102516	20	10	5	50.94	0.003	261.186
0.102516	20	15	5	54.385	0.002	352.916
0.102516	20	20	5	50.596	0	372.448
0.102516	25	5	5	53.381	2.718	119.236
0.102516	25	10	5	43.978	0.032	207.901
0.102516	25	15	5	45.825	0.004	243.895
0.102516	25	20	5	47.248	0	253.238
0.102516	30	5	5	51.007	2.15	115.832
0.102516	30	10	5	46.134	1.54	89.704
0.102516	30	15	5	46.539	0.047	132.189
0.102516	30	20	5	50.937	0.003	172.713
0.153773	10	5	5	47.281	0.053	733.613
0.153773	10	10	5	45.548	0	1036.31
0.153773	10	15	5	51.035	0	1413.08
0.153773	10	20	5	46.33	0	1706.67
0.153773	15	5	5	44.148	0.242	260.256
0.153773	15	10	5	48.41	0.004	411.505
0.153773	15	15	5	56.244	0	594.954
0.153773	15	20	5	50.105	0	615.86
0.153773	20	5	5	48.725	1.271	119.407
0.153773	20	10	5	47.363	0.014	300.68
0.153773	20	15	5	55.407	0	320.1
0.153773	20	20	5	45.018	0	324.188
0.153773	25	5	5	52.471	1.407	163.191
0.153773	25	10	5	50.342	0.02	182.096
0.153773	25	15	5	48.763	0.001	228.706
0.153773	25	20	5	48.908	0.001	222.074
0.153773	30	5	5	45.905	2.503	86.733
0.153773	30	10	5	48.97	0.295	123.106
0.153773	30	15	5	48.395	0.023	134.529
0.153773	30	20	5	48.377	0.003	151.513
0.23066	10	5	5	47.954	0.162	327.65
0.23066	10	10	5	47.018	0	566.196
0.23066	10	15	5	51.156	0	649.959
0.23066	10	20	5	49.037	0	770.877
0.23066	15	5	5	43.356	0.8	206.608
0.23066	15	10	5	45.029	0.007	280.03
0.23066	15	15	5	51.405	0	323.398
0.23066	15	20	5	47.897	0	322.263
0.23066	20	5	5	52.98	2.798	109.496
0.23066	20	10	5	46.485	0.439	113.672
0.23066	20	15	5	46.611	0.012	169.232
0.23066	20	20	5	50.434	0.001	164.451
0.23066	25	5	5	46.272	4.39	50.152
0.23066	25	10	5	44.275	0.744	87.246
0.23066	25	15	5	48.664	0.481	97.104
0.23066	25	20	5	46.338	0.121	122.271
0.23066	30	5	5	47.252	6.769	31.248
0.23066	30	10	5	46.925	1.827	49.657
0.23066	30	15	5	46.788	0.296	76.13
0.23066	30	20	5	51.107	0.227	140.564
0.004	10	5	5	76.185	0.1	533.514
0.004	10	10	5	73.181	0	779.626
0.004	10	15	5	69.798	0	1191.63
0.004	10	20	5	76.712	0	1539.83
0.004	15	5	5	80.665	0.774	177.003
0.004	15	10	5	82.919	0.039	259.332
0.004	15	15	5	80.238	0	284.959
0.004	15	20	5	82.604	0	339.222
0.004	20	5	5	77.115	1.772	88.938
0.004	20	10	5	74.436	0.098	126.747
0.004	20	15	5	72.322	0.012	180.697
0.004	20	20	5	75.407	0.017	168.157
0.004	25	5	5	69.788	11.197	35.78
0.004	25	10	5	77.856	0.918	84.594
0.004	25	15	5	77.054	0.263	89.872
0.004	25	20	5	67.064	0.005	130.476
0.004	30	5	5	74.288	8.854	31.258
0.004	30	10	5	78.243	2.811	49.588
0.004	30	15	5	75.293	2.062	59.304
0.004	30	20	5	78.143	0.459	65.401
0.006	10	5	5	84.627	0.152	570.143
0.006	10	10	5	65.725	0.01	832.986
0.006	10	15	5	73.776	0	1162.56
0.006	10	20	5	75.685	0	1291.61
0.006	15	5	5	76.37	2.304	163.91
0.006	15	10	5	79.036	0.021	251.621
0.006	15	15	5	72.849	0	296.296
0.006	15	20	5	67.427	0	365.418
0.006	20	5	5	78.805	3.343	72.025
0.006	20	10	5	84.06	0.426	130.661
0.006	20	15	5	76.497	0.006	140.107
0.006	20	20	5	76.355	0.018	168.585
0.006	25	5	5	80.513	7.695	40.668
0.006	25	10	5	79.705	0.819	77.769
0.006	25	15	5	68.911	0.187	92.59
0.006	25	20	5	74.456	0.039	94.077
0.006	30	5	5	89.753	10.275	30.327
0.006	30	10	5	78.989	1.15	47.558
0.006	30	15	5	69.564	0.654	55.135
0.006	30	20	5	69.568	0.27	68.669
0.009	10	5	5	73.968	0.024	542.766
0.009	10	10	5	63.142	0.049	820.688
0.009	10	15	5	75.866	0	1149.25
